2026-07-12 02:45:18.083 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.084 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.108 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.142 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.145 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.145 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.313 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2026-07-12 02:45:18.328 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2026-07-12 02:45:37.656 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2026-07-12 02:45:39.525 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 02:45:39.572 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 02:46:10.321 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 02:46:18.345 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 12:59:19.544 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2026-07-12 12:59:19.545 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2026-07-12 12:59:19.671 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 12:59:19.764 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2026-07-12 12:59:19.765 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
